Timestamp,Q1. Which best describes you? ,  Q2. What is your field of study?  ,  Q3. Which degree are you pursuing or have completed?  ,  Q4. Which state are you currently studying in?  ,  Q5. Which of the following skills do you currently have?  ,Q6. Which skill are you currently learning? ,  Q7. Rate your confidence in your technical skills.  ,"  Q8. On average, how many hours do you spend learning each day?  ",  Q9. Which learning platform do you use the most?  ,  Q10. Have you completed any professional certifications?  ,  Q11. Approximately how many certifications have you completed?  ,  Q12. Do you have a resume?  ,  Q13. Do you have a LinkedIn profile?  ,  Q14. Do you have a GitHub portfolio?  ,  Q15. Approximately how many personal or academic projects have you completed?  ,  Q16. Approximately how many jobs or internships have you applied for?  ,  Q17. Approximately how many interviews have you attended?  ,  Q18. How confident are you that you'll get your desired job within the next 6 months?  ,  Q19. Which career are you preparing for?  ,  Q20. What is your expected salary for your first full-time job?  ,  Q21. What do you think is your biggest challenge in getting a job?  ,  Q22. Which area would you most like to improve?  ,  Q23. How satisfied are you with your current career preparation?  ,  Q24. Would you recommend your current learning approach to another student?  ,"  Q25. Any additional questions, comments or suggestions?  "
6/26/2026 21:34:36,Final Year Student,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI",Data Analysis,3,2–4 hours,YouTube,Yes,1-2,Yes,Yes,Yes,3-5,51-100,1-2,4,Other,₹5–8 LPA,Limited Job Opportunities,Technical Skills,3,No,No
6/26/2026 21:38:09,Recent Graduate,Commerce,Bachelor's Degree,Telangana,None,MS Excel,4,Less than 1 hour,YouTube,No,1-2,Yes,No,No,1-2,1-20,More than 5,5,Other,Below ₹3 LPA,Lack of Experience,Communication Skills,4,Yes,Good experience overall in participating in this survey
6/26/2026 21:46:25,Final Year Student,Commerce,Bachelor's Degree,Telangana,"MS Excel, Python",Python,5,4–6 hours,Other,Yes,3-5,Yes,Yes,No,3-5,0,0,5,Data Analyst,Above ₹12 LPA,Communication Skills,Resume Building,5,No,For what purpose you created this web link Are you a Job Provider like Recruiter ?
6/26/2026 21:49:05,Recent Graduate,Commerce,Bachelor's Degree,Telangana,MS Excel,"SQL, Power BI, Data Analysis",3,Less than 1 hour,YouTube,No,0,No,No,No,0,1-20,0,5,Data Analyst,₹5–8 LPA,Communication Skills,Communication Skills,4,Maybe,Nothing 
6/26/2026 21:51:59,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, Power BI",None,3,More than 6 hours,Coursera,Yes,More than 5,Yes,Yes,Yes,More than 5,More than 100,More than 5,5,Other,Above ₹12 LPA,Lack of Technical Skills,Time Management,5,Maybe,.
6/26/2026 21:52:47,Final Year Student,Science,Bachelor's Degree,Andhra Pradesh,"SQL, Power BI, Python, Web Development, Data Analysis, Ai Tools, Cloud Computing","MS Excel, Cloud Computing",4,4–6 hours,Books,Yes,3-5,Yes,Yes,Yes,More than 5,1-20,More than 5,5,AI / Machine Learning,₹5–8 LPA,Lack of Experience,Communication Skills,4,Yes,No
6/26/2026 21:59:58,Recent Graduate,Commerce,Bachelor's Degree,Telangana,MS Excel,Data Analysis,5,4–6 hours,YouTube,No,0,Yes,No,No,1-2,1-20,1-2,5,Other,₹3–5 LPA,Limited Job Opportunities,Interview Preparation,5,Maybe,Currently I am looking for an opportunity to start my career with a reputed organization 
6/26/2026 22:02:19,Recent Graduate,Science,Bachelor's Degree,Maharashtra,"MS Excel, SQL, Power BI, Python, Data Analysis, Ai Tools","Web Development, Cloud Computing",2,1–2 hours,YouTube,Yes,3-5,Yes,Yes,Yes,3-5,1-20,1-2,1,AI / Machine Learning,₹3–5 LPA,Communication Skills,Communication Skills,1,No,-
6/26/2026 22:04:20,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL",None,4,More than 6 hours,College,Yes,1-2,Yes,No,No,0,0,3-5,5,Business Analyst,₹3–5 LPA,Limited Job Opportunities,Technical Skills,4,Yes,Opportunities is best for me
6/26/2026 22:07:23,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"Java, Web Development, Ai Tools",Data Analysis,4,2–4 hours,YouTube,No,1-2,Yes,Yes,Yes,1-2,21-50,1-2,3,Software Developer,₹8–12 LPA,Limited Job Opportunities,Communication Skills,4,Yes,Done
6/26/2026 22:18:53,Working Professional,Science,Bachelor's Degree,Uttar Pradesh,"MS Excel, SQL, Power BI, Java, Data Analysis","Python, Ai Tools",4,1–2 hours,Other,Yes,1-2,Yes,Yes,Yes,1-2,1-20,3-5,4,Business Analyst,Above ₹12 LPA,Communication Skills,Communication Skills,3,Maybe,NA
6/26/2026 22:20:13,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI","MS Excel, SQL, Power BI",3,Less than 1 hour,YouTube,Yes,1-2,Yes,Yes,No,0,21-50,3-5,5,Other,₹3–5 LPA,Lack of Technical Skills,Communication Skills,2,No,No
6/26/2026 22:20:42,3rd Year Student,Pharmacy,Other,Telangana,"SQL, Python, C++",None,3,1–2 hours,YouTube,Yes,1-2,No,No,No,1-2,0,0,1,Other,Below ₹3 LPA,Limited Job Opportunities,Technical Skills,1,No,None
6/26/2026 22:40:32,2nd Year Student,Pharmacy,Bachelor's Degree,Telangana,MS Excel,None,4,2–4 hours,YouTube,Yes,1-2,No,No,No,0,0,0,4,Higher Studies,Above ₹12 LPA,Limited Job Opportunities,Time Management,3,Maybe,"I wanna be very confident and wanna do very well in my upcoming jobs .
Thank u! "
6/26/2026 22:42:29,Recent Graduate,Engineering,Bachelor's Degree,Telangana,"SQL, Python, Java, Web Development, Data Analysis, Ai Tools, Cloud Computing",None,4,1–2 hours,YouTube,No,0,Yes,Yes,Yes,More than 5,1-20,1-2,3,Software Developer,₹5–8 LPA,Communication Skills,Communication Skills,3,No,Nothing 
6/26/2026 22:45:30,Final Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Power BI, Python, Java, C++, Web Development, Data Analysis, Ai Tools","SQL, Power BI, Python, Java, C++, Web Development, Data Analysis, Ai Tools, Cloud Computing",3,2–4 hours,YouTube,Yes,3-5,Yes,Yes,Yes,3-5,More than 100,1-2,5,AI / Machine Learning,₹8–12 LPA,Lack of Experience,Personal Projects,4,Yes,None
6/26/2026 22:49:53,Final Year Student,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Data Analysis","SQL, Python, Data Analysis",4,1–2 hours,YouTube,Yes,1-2,Yes,Yes,No,0,1-20,3-5,4,Data Analyst,₹5–8 LPA,Limited Job Opportunities,Technical Skills,3,Maybe,No
6/26/2026 22:57:11,Recent Graduate,Science,Bachelor's Degree,Telangana,"MS Excel, Python","Python, Java, Data Analysis",4,2–4 hours,YouTube,No,3-5,No,No,No,1-2,1-20,1-2,3,Higher Studies,₹3–5 LPA,Lack of Technical Skills,Technical Skills,3,No,Skills do matter
6/26/2026 23:37:35,Recent Graduate,Commerce,Bachelor's Degree,Telangana,MS Excel,None,3,Less than 1 hour,YouTube,Yes,1-2,Yes,No,No,0,0,1-2,4,Cybersecurity,₹3–5 LPA,Lack of Technical Skills,Communication Skills,3,Yes,  
6/27/2026 0:21:31,Final Year Student,Commerce,Bachelor's Degree,Telangana,"MS Excel, C++","Digital Marketing, Ai Tools",5,2–4 hours,YouTube,Yes,1-2,Yes,Yes,No,1-2,1-20,3-5,5,Data Analyst,₹3–5 LPA,Other,Personal Projects,5,Yes,Always keep learning 
6/27/2026 5:03:30,Recent Graduate,Engineering,Bachelor's Degree,Haryana,"MS Excel, SQL, Power BI, Python, Data Analysis, Ai Tools","Ai Tools, Cloud Computing",4,2–4 hours,YouTube,Yes,1-2,Yes,Yes,Yes,3-5,More than 100,1-2,1,Data Analyst,₹3–5 LPA,Limited Job Opportunities,Time Management,3,Yes,"Job interview should be more frequent in data analyst. 

Very Less Fresher opportunity in analysis field"
6/27/2026 7:20:00,2nd Year Student,Science,Bachelor's Degree,Telangana,MS Excel,MS Excel,1,1–2 hours,College,No,0,No,Yes,No,0,0,0,1,Data Analyst,₹5–8 LPA,Communication Skills,Technical Skills,1,Maybe,No
6/27/2026 9:10:14,Recent Graduate,Science,Master's Degree,Telangana,"MS Excel, SQL, Power BI, Python",Data Analysis,4,2–4 hours,YouTube,No,0,Yes,Yes,Yes,1-2,0,0,4,Other,₹8–12 LPA,Communication Skills,Communication Skills,4,Maybe,Thank you 
6/27/2026 10:56:58,Final Year Student,Management,Bachelor's Degree,Telangana,MS Excel,"Power BI, Digital Marketing, Ai Tools",2,Less than 1 hour,YouTube,Yes,1-2,Yes,Yes,No,0,0,0,1,Higher Studies,₹3–5 LPA,Lack of Technical Skills,Technical Skills,2,Yes,Nill 
6/27/2026 13:18:37,Recent Graduate,Management,Bachelor's Degree,Telangana,Digital Marketing,Digital Marketing,5,1–2 hours,YouTube,No,0,Yes,Yes,No,0,0,0,4,Digital Marketing,₹5–8 LPA,Communication Skills,Technical Skills,3,Maybe,No comments
6/28/2026 17:52:03,2nd Year Student,Engineering,Bachelor's Degree,Maharashtra,"SQL, Python, C++, Data Analysis, Ai Tools","SQL, Ai Tools",3,4–6 hours,YouTube,Yes,3-5,Yes,Yes,Yes,3-5,1-20,0,3,AI / Machine Learning,₹8–12 LPA,Communication Skills,Communication Skills,4,No,I actually not have 😅
6/28/2026 21:22:47,3rd Year Student,Engineering,Diploma,Telangana,"SQL, Python, Java, Web Development","Power BI, Data Analysis, Ai Tools, Cloud Computing",3,1–2 hours,Friends,Yes,3-5,Yes,Yes,Yes,3-5,1-20,3-5,2,AI / Machine Learning,₹8–12 LPA,Lack of Experience,Interview Preparation,3,No,no
6/29/2026 12:31:37,Recent Graduate,Engineering,Master's Degree,Karnataka,"MS Excel, SQL, Java","Web Development, Ai Tools, Cloud Computing",3,1–2 hours,YouTube,Yes,1-2,Yes,Yes,Yes,1-2,1-20,3-5,3,Cybersecurity,₹3–5 LPA,Lack of Technical Skills,Technical Skills,3,Yes,No
6/29/2026 12:37:28,Working Professional,Science,Bachelor's Degree,West Bengal,"MS Excel, SQL, Python, Data Analysis","Power BI, Ai Tools, Cloud Computing",4,1–2 hours,YouTube,Yes,1-2,Yes,Yes,Yes,More than 5,More than 100,More than 5,3,Business Analyst,Above ₹12 LPA,Lack of Technical Skills,Technical Skills,3,Maybe,It would be great if you could share what other people thought or shared mostly 
6/29/2026 12:37:31,Recent Graduate,Science,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python","MS Excel, Power BI",4,2–4 hours,YouTube,No,3-5,Yes,Yes,No,3-5,0,1-2,5,Data Analyst,₹5–8 LPA,Lack of Experience,Technical Skills,4,Yes,no
6/29/2026 12:40:29,Final Year Student,Engineering,Bachelor's Degree,Andhra Pradesh,"MS Excel, SQL, Python, Java, Web Development, Data Analysis, Ai Tools, Cloud Computing","Power BI, Digital Marketing",4,2–4 hours,YouTube,Yes,More than 5,Yes,Yes,Yes,1-2,1-20,0,4,AI / Machine Learning,Above ₹12 LPA,Lack of Projects,Interview Preparation,4,Yes,"Focus on real world project ,innovation 
And emerging technologies "
6/29/2026 12:40:46,Recent Graduate,Science,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python","MS Excel, SQL, Power BI, Python",4,1–2 hours,College,No,3-5,Yes,No,No,3-5,0,1-2,4,AI / Machine Learning,₹3–5 LPA,Other,Time Management,5,No,No
6/29/2026 12:46:44,Working Professional,Engineering,Bachelor's Degree,Maharashtra,"MS Excel, SQL","Power BI, Python, Data Analysis, Cloud Computing",3,1–2 hours,YouTube,No,0,Yes,Yes,Yes,0,1-20,1-2,3,Data Analyst,₹3–5 LPA,Lack of Experience,Technical Skills,3,Maybe,Nil
6/29/2026 13:22:42,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, Python, Web Development, Digital Marketing","Power BI, Data Analysis",4,1–2 hours,YouTube,Yes,3-5,No,Yes,Yes,1-2,1-20,0,4,Data Analyst,Above ₹12 LPA,Lack of Technical Skills,Technical Skills,4,Yes,Aptitude test & reasoning 
6/29/2026 13:24:15,Final Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Java, Data Analysis","Ai Tools, Cloud Computing",4,2–4 hours,YouTube,Yes,3-5,Yes,Yes,No,3-5,More than 100,3-5,4,Data Analyst,₹3–5 LPA,Limited Job Opportunities,Technical Skills,3,No,No
6/29/2026 13:29:21,3rd Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Python, Java, C++, Web Development","SQL, Python, Java, C++, Web Development",3,4–6 hours,YouTube,Yes,1-2,Yes,Yes,Yes,1-2,21-50,1-2,3,AI / Machine Learning,₹5–8 LPA,Lack of Projects,Technical Skills,3,Yes,no
6/29/2026 15:11:18,3rd Year Student,Commerce,Bachelor's Degree,Telangana,None,None,1,Less than 1 hour,YouTube,No,0,No,No,No,0,0,0,1,Higher Studies,Above ₹12 LPA,Lack of Technical Skills,Technical Skills,3,No,No
6/29/2026 15:12:31,Recent Graduate,Commerce,Bachelor's Degree,Telangana,None,None,1,Less than 1 hour,YouTube,No,0,No,No,No,0,0,0,5,Government Jobs,₹3–5 LPA,Communication Skills,Technical Skills,4,Maybe,No
6/29/2026 15:19:24,Working Professional,Commerce,Master's Degree,Maharashtra,"MS Excel, Digital Marketing, Ai Tools",Digital Marketing,3,1–2 hours,YouTube,Yes,1-2,Yes,Yes,No,1-2,21-50,More than 5,4,Digital Marketing,₹3–5 LPA,Lack of Experience,Networking,5,Yes,"There are platforms for learning butt expensive too, soo youtube is the best source"
6/29/2026 16:14:33,Recent Graduate,Commerce,Bachelor's Degree,Telangana,MS Excel,None,3,4–6 hours,YouTube,No,1-2,No,No,No,0,0,0,1,Higher Studies,₹5–8 LPA,Lack of Experience,Time Management,4,Maybe,none
6/29/2026 18:17:56,Recent Graduate,Engineering,Bachelor's Degree,Karnataka,"SQL, Python, Java","SQL, Power BI, Web Development",3,1–2 hours,YouTube,No,1-2,Yes,No,Yes,1-2,21-50,3-5,5,Web Developer,₹3–5 LPA,Communication Skills,Communication Skills,3,Yes,As of now Nothing 
6/29/2026 18:57:06,Recent Graduate,Engineering,Bachelor's Degree,Maharashtra,None,"MS Excel, SQL, Power BI, Python, Data Analysis, Cloud Computing",2,2–4 hours,YouTube,No,0,No,Yes,No,1-2,1-20,1-2,3,Business Analyst,₹5–8 LPA,Lack of Technical Skills,Communication Skills,1,No,No
7/1/2026 11:25:32,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, SQL, C++, Web Development","Power BI, Ai Tools",3,2–4 hours,YouTube,No,1-2,Yes,No,Yes,1-2,0,1-2,4,Data Analyst,₹5–8 LPA,Lack of Experience,Technical Skills,5,Yes,No
7/1/2026 11:53:07,Final Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Python, Web Development, Ai Tools, Cloud Computing","Data Analysis, Ai Tools, Cloud Computing",4,4–6 hours,Books,Yes,3-5,Yes,Yes,Yes,3-5,1-20,1-2,4,Other,₹5–8 LPA,Interview Preparation,Interview Preparation,3,Yes,None
7/1/2026 11:59:31,Working Professional,Engineering,Bachelor's Degree,Haryana,"Python, Cloud Computing",Cloud Computing,4,1–2 hours,Udemy,Yes,1-2,Yes,Yes,Yes,3-5,1-20,3-5,5,Cybersecurity,₹5–8 LPA,Interview Preparation,Time Management,5,Maybe,No
7/1/2026 11:59:35,1st Year Student,Commerce,Bachelor's Degree,Jharkhand,"MS Excel, Python, Ai Tools","MS Excel, Python, Digital Marketing",1,2–4 hours,Udemy,No,1-2,No,Yes,Yes,1-2,21-50,3-5,4,Government Jobs,₹8–12 LPA,Resume Preparation,Interview Preparation,2,No,No
7/1/2026 12:04:09,Final Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Power BI, Python, Java, Web Development, Ai Tools","Ai Tools, Cloud Computing",4,4–6 hours,YouTube,Yes,1-2,Yes,Yes,Yes,1-2,1-20,0,4,Software Developer,₹8–12 LPA,Lack of Experience,Networking,3,Maybe,None
7/1/2026 12:08:57,Final Year Student,Engineering,Bachelor's Degree,Telangana,"SQL, Power BI, Python, Web Development, Data Analysis, Ai Tools","Power BI, Java, Ai Tools, Cloud Computing",3,1–2 hours,YouTube,Yes,3-5,Yes,Yes,Yes,3-5,21-50,0,2,AI / Machine Learning,₹3–5 LPA,Communication Skills,Personal Projects,3,Maybe,"Even though we applied to many intership, not even 0.1 % companies actually accept it "
7/1/2026 12:10:17,Recent Graduate,Engineering,Bachelor's Degree,Haryana,"MS Excel, SQL, Power BI, Python, Data Analysis, Ai Tools","Java, Data Analysis, Ai Tools",5,2–4 hours,YouTube,No,0,Yes,Yes,No,3-5,21-50,3-5,4,Data Analyst,₹5–8 LPA,Limited Job Opportunities,Communication Skills,5,Yes,N
7/1/2026 12:19:27,Recent Graduate,Engineering,Bachelor's Degree,Haryana,"SQL, Python","MS Excel, Power BI, Data Analysis",5,4–6 hours,YouTube,Yes,1-2,Yes,Yes,No,3-5,21-50,1-2,3,Data Analyst,₹5–8 LPA,Lack of Experience,Technical Skills,3,Yes,N/A
7/1/2026 12:25:12,Final Year Student,Engineering,Bachelor's Degree,Telangana,"MS Excel, Power BI, Python, Web Development","Python, Web Development, Ai Tools",3,2–4 hours,YouTube,No,1-2,Yes,Yes,Yes,1-2,More than 100,1-2,3,Web Developer,₹3–5 LPA,Lack of Experience,Technical Skills,2,No,No
7/1/2026 12:25:28,3rd Year Student,Arts,Master's Degree,Haryana,None,None,3,1–2 hours,YouTube,No,0,No,No,No,0,1-20,1-2,3,Government Jobs,Above ₹12 LPA,Lack of Technical Skills,Technical Skills,3,Yes,No
7/1/2026 12:47:22,Recent Graduate,Science,Master's Degree,Haryana,"MS Excel, SQL","MS Excel, SQL, Power BI, Python, Data Analysis",3,4–6 hours,College,Yes,1-2,Yes,Yes,No,1-2,1-20,3-5,3,Higher Studies,₹5–8 LPA,Interview Preparation,Technical Skills,3,Yes,Na
7/1/2026 13:27:56,Recent Graduate,Science,Bachelor's Degree,Delhi,"MS Excel, Web Development",None,3,1–2 hours,YouTube,No,0,Yes,No,No,1-2,1-20,1-2,4,Government Jobs,₹8–12 LPA,Other,Technical Skills,3,Maybe,NA
7/1/2026 13:32:34,2nd Year Student,Engineering,Bachelor's Degree,Telangana,"Python, Ai Tools","Java, Digital Marketing",4,Less than 1 hour,YouTube,Yes,3-5,Yes,Yes,Yes,3-5,1-20,0,3,AI / Machine Learning,₹8–12 LPA,Communication Skills,Communication Skills,3,Yes,No
7/1/2026 13:39:44,Recent Graduate,Science,Bachelor's Degree,Haryana,"MS Excel, SQL, Python, Digital Marketing","SQL, Power BI, Web Development, Data Analysis, Ai Tools",3,1–2 hours,Coursera,Yes,1-2,Yes,Yes,Yes,1-2,1-20,1-2,4,Other,₹5–8 LPA,Lack of Projects,Technical Skills,3,Yes,ni
7/1/2026 13:47:14,Recent Graduate,Engineering,Bachelor's Degree,Uttar Pradesh,"MS Excel, SQL, Power BI, Data Analysis","Python, Data Analysis",4,2–4 hours,College,No,1-2,Yes,Yes,Yes,3-5,21-50,3-5,4,Data Analyst,₹5–8 LPA,Lack of Experience,Communication Skills,4,Yes,No
7/1/2026 13:55:29,Recent Graduate,Engineering,Master's Degree,Telangana,"MS Excel, SQL, Power BI, Python, Web Development, Data Analysis",Ai Tools,3,Less than 1 hour,YouTube,Yes,1-2,Yes,Yes,Yes,3-5,51-100,0,3,Data Analyst,₹5–8 LPA,Communication Skills,Interview Preparation,3,Maybe,Practice daily 
7/1/2026 14:50:19,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, Power BI, Ai Tools",Data Analysis,4,1–2 hours,YouTube,Yes,1-2,Yes,Yes,No,1-2,1-20,1-2,4,Data Analyst,₹3–5 LPA,Lack of Experience,Technical Skills,3,Maybe,.
7/1/2026 14:52:30,Recent Graduate,Commerce,Bachelor's Degree,Telangana,None,None,5,4–6 hours,YouTube,No,3-5,Yes,No,No,0,1-20,3-5,5,Software Developer,₹3–5 LPA,Communication Skills,Communication Skills,1,No,"I would like more practical training, mock interviews, and communication skills sessions to help me become job-ready. Thank you."
7/1/2026 15:07:49,Final Year Student,Engineering,Bachelor's Degree,Telangana,"Python, Web Development","Python, Web Development",1,1–2 hours,YouTube,No,0,No,Yes,Yes,1-2,0,0,1,Web Developer,Above ₹12 LPA,Lack of Experience,Technical Skills,1,No,"""The learning program is good, but I would appreciate more hands-on projects, mock interviews, coding practice, and placement support to improve job readiness."""
7/1/2026 15:14:30,Final Year Student,Management,Bachelor's Degree,Telangana,MS Excel,None,3,Less than 1 hour,YouTube,No,0,Yes,Yes,No,1-2,1-20,3-5,3,Business Analyst,₹3–5 LPA,Communication Skills,Communication Skills,3,Maybe,Focus on the money 
7/1/2026 15:17:35,Final Year Student,Engineering,Other,Telangana,"Python, C++",Cloud Computing,2,1–2 hours,Books,Yes,1-2,No,Yes,No,1-2,1-20,0,2,AI / Machine Learning,₹3–5 LPA,Lack of Technical Skills,Technical Skills,3,Maybe,No
7/1/2026 15:40:54,1st Year Student,Commerce,Bachelor's Degree,Telangana,MS Excel,"SQL, Power BI, Data Analysis",4,1–2 hours,YouTube,Yes,1-2,Yes,No,No,0,1-20,0,5,Other,Below ₹3 LPA,Lack of Projects,Certifications,4,No,Fine
7/1/2026 15:49:58,Recent Graduate,Commerce,Bachelor's Degree,Telangana,"MS Excel, Power BI, Digital Marketing",Digital Marketing,2,2–4 hours,YouTube,Yes,3-5,Yes,Yes,No,1-2,51-100,3-5,5,Digital Marketing,Below ₹3 LPA,Lack of Technical Skills,Interview Preparation,5,Yes,No
7/1/2026 19:19:59,Working Professional,Commerce,Bachelor's Degree,Telangana,"MS Excel, Ai Tools",MS Excel,3,Less than 1 hour,YouTube,Yes,1-2,Yes,Yes,No,1-2,1-20,1-2,4,AI / Machine Learning,₹3–5 LPA,Communication Skills,Technical Skills,4,Yes,NA
